player,pos,fp_id,ecr_2qb,value_2qb
Zach Evans,RB,23122,261.8,22
Tyquan Thornton,WR,22913,263.4,22
Terrace Marshall Jr.,WR,23242,263.1,22
Josh Reynolds,WR,16439,263.5,21
2024 Pick 4.04,PICK,NA,266.215,20
Isaiah Hodgins,WR,19375,263.5,21
2025 Early 4th,PICK,NA,269.20484526869,19
Desmond Ridder,QB,20080,189.9,121
Jacob Cowing,WR,25289,265.8,20
Jimmy Garoppolo,QB,12208,180.9,150
2024 Pick 4.05,PICK,NA,270.3025,18
Tyrone Tracy Jr.,RB,22980,267.8,19
Eric Gray,RB,23075,265.1,21
Isaiah Spiller,RB,23143,265.5,20
Daniel Bellinger,TE,24238,266.5,20
2024 Pick 4.06,PICK,NA,274.245,17
Tyler Conklin,TE,17598,267.9,19
Justice Hill,RB,18256,271,18
Darnell Washington,TE,22967,267.9,19
D'Ernest Johnson,RB,19111,270.6,18
2024 Pick 4.07,PICK,NA,277.8975,15
Zach Ertz,TE,11689,269.2,19
Chase Claypool,WR,18627,276,16
2024 Pick 4.08,PICK,NA,281.275,14
Robert Woods,WR,11610,275.4,16
Marquez Valdes-Scantling,WR,17528,276.2,16
Sam Darnold,QB,17236,175.2,171
Jermaine Burton,WR,22956,278.9,15
2025 4th,PICK,NA,284.333803602023,13
2024 Pick 4.09,PICK,NA,284.4225,13
2025 Mid 4th,PICK,NA,285.42547026869,13
Isaac Guerendo,RB,26392,276.7,16
Leonard Fournette,RB,16378,276.1,16
2024 Pick 4.10,PICK,NA,287.42,12
Bo Melton,WR,24049,276.4,16
Hayden Hurst,TE,17283,276,16
Allen Robinson II,WR,12126,279.7,15
Jordan Mason,RB,22969,279.6,15
2024 Pick 4.11,PICK,NA,290.35,11
Dylan Laube,RB,26194,276.9,16
Ryan Tannehill,QB,11174,232.6,44
Charlie Jones,WR,25336,278.6,15
Johnny Wilson,WR,25295,282.9,14
2026 4th,PICK,NA,293.829273870713,11
2024 Pick 4.12,PICK,NA,293.31,11
Keaontay Ingram,RB,23162,281,14
Cordarrelle Patterson,RB,11613,282.6,14
David Bell,WR,23108,285.1,13
2024 Pick 5.01,PICK,NA,296.19,10
Theo Johnson,TE,23104,288.3,12
Chase Edmonds,RB,17496,281.9,14
2025 Late 4th,PICK,NA,298.37109526869,9
2024 Pick 5.02,PICK,NA,298.9075,9
Luke McCaffrey,WR,26328,286.7,12
Malik Washington,WR,26314,289.5,12
Kylen Granson,TE,22841,287.6,12
2024 Pick 5.03,PICK,NA,301.5,9
Noah Gray,TE,19539,285.9,13
Latavius Murray,RB,11821,288.2,12
Jalen Tolbert,WR,23770,288,12
Van Jefferson,WR,19483,289.3,12
2024 Pick 5.04,PICK,NA,304.0275,8
Zonovan Knight,RB,24901,287.9,12
Ronnie Rivers,RB,23986,286.4,13
Zach Wilson,QB,22679,247,32
Tre Tucker,WR,25337,286.7,12
DeVante Parker,WR,13897,288.3,12
2024 Pick 5.05,PICK,NA,306.53,8
Jalen Coker,WR,26403,295,10
Brevin Jordan,TE,20162,291.8,11
DeWayne McBride,RB,25265,289.5,12
2024 Pick 5.06,PICK,NA,309.07,7
Isaiah Davis,RB,25977,290.9,11
2025 Early 5th,PICK,NA,309.65172026869,7
Jacoby Brissett,QB,15642,207.3,80
2024 Pick 5.07,PICK,NA,311.575,7
Matt Breida,RB,17058,295.6,10
2024 Pick 5.08,PICK,NA,313.98,7
Spencer Rattler,QB,23081,281.2,14
Trey Lance,QB,20082,212,72
2024 Pick 5.09,PICK,NA,316.3,6
Jarrett Stidham,QB,18604,256.2,25
Bailey Zappe,QB,24027,336.7,4
Jameis Winston,QB,13891,231.8,45
2024 Pick 5.10,PICK,NA,318.5825,6
Drew Lock,QB,18225,338.3,4
Joshua Dobbs,QB,16417,255.8,26
Kayshon Boutte,WR,22989,296.7,10
Calvin Austin III,WR,23739,297.2,10
2024 Pick 5.11,PICK,NA,320.83,6
Joe Flacco,QB,9300,330.3,4
2025 5th,PICK,NA,319.545053602023,6
2025 Mid 5th,PICK,NA,319.78422026869,6
Taylor Heinicke,QB,13932,340.7,3
2024 Pick 5.12,PICK,NA,323.1025,5
Tyrod Taylor,QB,10007,342.2,3
Andy Dalton,QB,9907,342.6,3
Dorian Thompson-Robinson,QB,20086,343.8,3
Malik Willis,QB,23499,346.6,3
Donald Parham Jr.,TE,18835,302.4,9
Rasheen Ali,RB,25983,322,5
Cody Schrader,RB,26216,299.9,9
Tyler Huntley,QB,19297,347.8,3
Joe Milton III,QB,25967,347.8,3
Parris Campbell,WR,18463,301,9
Mason Rudolph,QB,17234,335.5,4
Jaheim Bell,TE,24747,312.1,7
Kimani Vidal,RB,26355,310.2,7
Jeremy Ruckert,TE,23742,304.7,8
Hendon Hooker,QB,24332,294.3,10
2025 Late 5th,PICK,NA,329.19922026869,5
Mecole Hardman Jr.,WR,18587,304.5,8
Ben Sinnott,TE,26310,313.2,7
Jake Browning,QB,18557,241.2,36
Mike White,QB,17447,349.5,3
2026 5th,PICK,NA,329.040523870713,5
Michael Pratt,QB,25226,349.8,3
Kenny McIntosh,RB,25329,304.5,8
Marcus Mariota,QB,13890,350,3
Brenton Strange,TE,25345,312.3,7
